group1,group2,N1,N2,frac,pi_low,pi_high
2.0_typical,1.0_high,6,2,2.0,0.06,0.04
2.0_typical,1.0_high,8,2,2.5,0.17,0.11
2.0_typical,1.0_high,9,3,3.0,0.18,0.09
2.0_typical,1.0_high,9,5,3.5,0.99,0.39
2.0_typical,1.0_high,10,6,4.0,1.0,0.4
2.0_typical,1.0_high,12,6,4.5,1.0,0.31
2.0_typical,1.0_high,13,7,5.0,1.0,0.22
2.0_typical,1.0_high,13,9,5.5,1.0,0.21
2.0_typical,1.0_high,14,10,6.0,1.0,0.16
2.0_typical,1.0_high,15,11,6.5,1.0,0.14
2.0_typical,1.0_high,17,11,7.0,1.0,0.12
2.0_typical,1.0_high,19,11,7.5,1.0,0.07
2.0_typical,1.0_high,20,12,8.0,1.0,0.09
2.0_typical,1.0_high,20,14,8.5,1.0,0.07
2.0_typical,1.0_high,20,16,9.0,1.0,0.07
2.0_typical,1.0_high,20,18,9.5,1.0,0.05
4.0_typical,1.0_low,5,1,1.0,-0.01,-0.01
4.0_typical,1.0_low,6,3,1.5,0.19,0.21
4.0_typical,1.0_low,7,5,2.0,0.93,0.91
4.0_typical,1.0_low,10,5,2.5,0.95,0.89
4.0_typical,1.0_low,10,8,3.0,0.96,0.92
4.0_typical,1.0_low,12,9,3.5,0.97,0.92
4.0_typical,1.0_low,14,10,4.0,0.96,0.91
4.0_typical,1.0_low,15,12,4.5,0.96,0.89
4.0_typical,1.0_low,16,14,5.0,0.96,0.9
4.0_typical,1.0_low,17,16,5.5,0.97,0.93
4.0_typical,1.0_low,20,16,6.0,0.97,0.91
4.0_typical,1.0_low,21,18,6.5,0.99,0.93
4.0_typical,1.0_low,23,19,7.0,0.96,0.91
4.0_typical,1.0_low,23,22,7.5,0.98,0.87
4.0_typical,1.0_low,24,24,8.0,0.98,0.91
4.0_typical,1.0_low,25,26,8.5,0.98,0.88
4.0_typical,1.0_low,26,28,9.0,0.98,0.91
4.0_typical,1.0_low,28,29,9.5,0.97,0.87
4.0_typical,1.0_typical,15,7,1.0,0.95,0.95
4.0_typical,1.0_typical,20,13,1.5,0.95,0.96
4.0_typical,1.0_typical,25,19,2.0,0.95,0.99
4.0_typical,1.0_typical,28,27,2.5,0.97,0.96
4.0_typical,1.0_typical,34,32,3.0,0.98,0.96
4.0_typical,1.0_typical,39,38,3.5,0.97,0.97
4.0_typical,1.0_typical,45,43,4.0,0.98,0.96
4.0_typical,1.0_typical,52,47,4.5,1.0,0.95
4.0_typical,1.0_typical,60,50,5.0,0.95,0.97
4.0_typical,1.0_typical,64,57,5.5,0.97,0.96
4.0_typical,1.0_typical,72,60,6.0,0.98,0.94
4.0_typical,1.0_typical,79,64,6.5,0.98,0.95
4.0_typical,1.0_typical,86,68,7.0,0.97,0.94
4.0_typical,1.0_typical,90,75,7.5,0.97,0.92
4.0_typical,1.0_typical,96,80,8.0,0.98,0.92
4.0_typical,1.0_typical,101,86,8.5,0.97,0.93
4.0_typical,1.0_typical,107,91,9.0,0.97,0.93
4.0_typical,1.0_typical,116,93,9.5,0.96,0.9
4.0_typical,1.0_high,3,1,1.0,-0.01,-0.01
4.0_typical,1.0_high,5,1,1.5,-0.01,-0.01
4.0_typical,1.0_high,6,2,2.0,0.06,-0.01
4.0_typical,1.0_high,8,2,2.5,0.18,-0.01
4.0_typical,1.0_high,9,3,3.0,0.18,-0.01
4.0_typical,1.0_high,9,5,3.5,1.0,0.0
4.0_typical,1.0_high,10,6,4.0,1.0,0.0
4.0_typical,1.0_high,12,6,4.5,1.0,0.0
4.0_typical,1.0_high,13,7,5.0,1.0,0.0
4.0_typical,1.0_high,13,9,5.5,1.0,0.0
4.0_typical,1.0_high,14,10,6.0,1.0,0.0
4.0_typical,1.0_high,15,11,6.5,1.0,0.0
4.0_typical,1.0_high,17,11,7.0,1.0,0.0
4.0_typical,1.0_high,19,11,7.5,1.0,0.0
4.0_typical,1.0_high,20,12,8.0,1.0,0.0
4.0_typical,1.0_high,20,14,8.5,1.0,0.0
4.0_typical,1.0_high,20,16,9.0,1.0,0.0
4.0_typical,1.0_high,20,18,9.5,1.0,0.0
5.0_low,4.0_low,179,163,1.0,0.99,0.92
5.0_low,4.0_low,264,249,1.5,0.97,0.87
5.0_low,4.0_low,348,336,2.0,0.99,0.82
5.0_low,4.0_low,433,422,2.5,0.98,0.74
5.0_low,4.0_low,521,505,3.0,0.98,0.7
5.0_low,4.0_low,609,588,3.5,0.98,0.69
5.0_low,4.0_low,692,676,4.0,0.94,0.65
5.0_low,4.0_low,776,763,4.5,0.97,0.63
5.0_low,4.0_low,874,836,5.0,0.95,0.56
5.0_low,4.0_low,955,926,5.5,0.96,0.52
5.0_low,4.0_low,1036,1016,6.0,0.95,0.57
5.0_low,4.0_low,1120,1103,6.5,0.96,0.49
5.0_low,4.0_low,1201,1193,7.0,0.95,0.43
5.0_low,4.0_low,1282,1283,7.5,0.96,0.4
5.0_low,4.0_low,1372,1364,8.0,0.97,0.33
5.0_low,4.0_low,1446,1461,8.5,0.94,0.33
5.0_low,4.0_low,1536,1542,9.0,0.97,0.33
5.0_low,4.0_low,1626,1623,9.5,0.97,0.31
5.0_low,6.0_low,173,157,1.0,1.0,0.71
5.0_low,6.0_low,257,238,1.5,1.0,0.58
5.0_low,6.0_low,337,323,2.0,1.0,0.45
5.0_low,6.0_low,417,408,2.5,1.0,0.41
5.0_low,6.0_low,500,490,3.0,1.0,0.27
5.0_low,6.0_low,587,568,3.5,1.0,0.19
5.0_low,6.0_low,665,655,4.0,1.0,0.15
5.0_low,6.0_low,749,736,4.5,1.0,0.08
5.0_low,6.0_low,845,805,5.0,1.0,0.06
5.0_low,6.0_low,923,892,5.5,1.0,0.03
5.0_low,6.0_low,1002,978,6.0,1.0,0.02
5.0_low,6.0_low,1081,1064,6.5,1.0,0.01
5.0_low,6.0_low,1161,1149,7.0,1.0,0.01
5.0_low,6.0_low,1239,1236,7.5,1.0,0.01
5.0_low,6.0_low,1323,1317,8.0,1.0,0.02
5.0_low,6.0_low,1393,1412,8.5,1.0,0.01
5.0_low,6.0_low,1484,1486,9.0,1.0,0.01
5.0_low,6.0_low,1566,1569,9.5,1.0,0.01
5.0_low,3.0_low,388,342,1.0,1.0,0.47
5.0_low,3.0_low,565,530,1.5,1.0,0.23
5.0_low,3.0_low,746,714,2.0,1.0,0.09
5.0_low,3.0_low,917,908,2.5,1.0,0.05
5.0_low,3.0_low,1105,1085,3.0,1.0,0.03
5.0_low,3.0_low,1311,1244,3.5,1.0,0.02
5.0_low,3.0_low,1501,1419,4.0,1.0,0.0
5.0_low,3.0_low,1688,1597,4.5,1.0,0.0
5.0_low,3.0_low,1858,1792,5.0,1.0,0.0
5.0_low,3.0_low,2042,1973,5.5,1.0,0.0
5.0_low,3.0_low,2226,2154,6.0,1.0,0.0
5.0_low,3.0_low,2407,2338,6.5,1.0,0.0
5.0_low,3.0_low,2593,2517,7.0,1.0,0.0
5.0_low,3.0_low,2769,2706,7.5,1.0,0.0
5.0_low,3.0_low,2947,2893,8.0,1.0,0.0
5.0_low,3.0_low,3110,3095,8.5,1.0,0.0
5.0_low,3.0_low,3289,3281,9.0,1.0,0.0
5.0_low,3.0_low,3485,3450,9.5,1.0,0.0
5.0_low,1.0_low,5,1,1.0,-0.01,-0.01
5.0_low,1.0_low,6,3,1.5,0.13,0.23
5.0_low,1.0_low,7,5,2.0,0.54,0.99
5.0_low,1.0_low,10,5,2.5,0.5,1.0
5.0_low,1.0_low,10,8,3.0,0.41,1.0
5.0_low,1.0_low,12,9,3.5,0.39,1.0
5.0_low,1.0_low,14,10,4.0,0.27,1.0
5.0_low,1.0_low,15,12,4.5,0.24,1.0
5.0_low,1.0_low,16,14,5.0,0.17,1.0
5.0_low,1.0_low,17,16,5.5,0.11,1.0
5.0_low,1.0_low,20,16,6.0,0.09,1.0
5.0_low,1.0_low,21,18,6.5,0.06,1.0
5.0_low,1.0_low,23,19,7.0,0.05,1.0
5.0_low,1.0_low,23,22,7.5,0.03,1.0
5.0_low,1.0_low,24,24,8.0,0.0,1.0
5.0_low,1.0_low,25,26,8.5,0.0,1.0
5.0_low,1.0_low,26,28,9.0,0.0,1.0
5.0_low,1.0_low,28,29,9.5,0.0,1.0
5.0_low,1.0_typical,15,7,1.0,0.99,0.95
5.0_low,1.0_typical,20,13,1.5,0.95,0.94
5.0_low,1.0_typical,25,19,2.0,0.97,0.97
5.0_low,1.0_typical,28,27,2.5,0.94,0.94
5.0_low,1.0_typical,34,32,3.0,0.97,0.95
5.0_low,1.0_typical,39,38,3.5,0.95,0.95
5.0_low,1.0_typical,45,43,4.0,0.93,0.93
5.0_low,1.0_typical,52,47,4.5,0.97,0.91
5.0_low,1.0_typical,60,50,5.0,0.97,0.9
5.0_low,1.0_typical,64,57,5.5,0.98,0.9
5.0_low,1.0_typical,72,60,6.0,0.97,0.9
5.0_low,1.0_typical,79,64,6.5,0.92,0.9
5.0_low,1.0_typical,86,68,7.0,0.97,0.91
5.0_low,1.0_typical,90,75,7.5,0.94,0.89
5.0_low,1.0_typical,96,80,8.0,0.96,0.89
5.0_low,1.0_typical,101,86,8.5,0.96,0.9
5.0_low,1.0_typical,107,91,9.0,0.95,0.89
5.0_low,1.0_typical,116,93,9.5,0.94,0.88
5.0_low,5.0_high,333,301,1.0,1.0,0.6
5.0_low,5.0_high,485,466,1.5,1.0,0.42
5.0_low,5.0_high,641,627,2.0,0.99,0.32
5.0_low,5.0_high,797,788,2.5,0.99,0.26
5.0_low,5.0_high,969,933,3.0,0.99,0.2
5.0_low,5.0_high,1136,1083,3.5,0.98,0.14
5.0_low,5.0_high,1309,1227,4.0,0.97,0.11
5.0_low,5.0_high,1474,1379,4.5,0.98,0.08
5.0_low,5.0_high,1630,1540,5.0,0.98,0.06
5.0_low,5.0_high,1798,1689,5.5,0.97,0.05
5.0_low,5.0_high,1961,1843,6.0,0.98,0.05
5.0_low,5.0_high,2118,2003,6.5,0.99,0.04
5.0_low,5.0_high,2281,2157,7.0,0.99,0.02
5.0_low,5.0_high,2431,2324,7.5,0.99,0.02
5.0_low,5.0_high,2593,2479,8.0,1.0,0.01
5.0_low,5.0_high,2737,2652,8.5,1.0,0.0
5.0_low,5.0_high,2895,2811,9.0,1.0,0.0
