group1,group2,N1,N2,frac,pi_low,pi_high,low,high,avg,ci_low,ci_high,obs_diff
4.0_low,3.0_high,525,525,3.5,1.0,0.33,,,,-0.056353874883284506,-0.008659570494863641,-0.03293370681605878
4.0_low,3.0_high,600,600,4.0,1.0,0.27,,,,-0.05617859477124103,-0.009996241830065034,-0.03322875816993398
4.0_low,3.0_high,675,675,4.5,1.0,0.16,,,,-0.05137153231662852,-0.008446187363833603,-0.02953667392882986
4.0_low,3.0_high,750,750,5.0,1.0,0.15,,,,-0.050859738562090404,-0.009358039215685683,-0.03183790849673129
4.0_low,2.0_high,150,150,1.0,1.0,0.36,,,,-0.08470588235293998,0.011774509803922292,-0.03803921568627411
4.0_low,2.0_high,225,225,1.5,1.0,0.15,,,,-0.09361437908496624,-0.016967320261436228,-0.05542483660130648
4.0_low,2.0_high,300,300,2.0,1.0,0.09,,,,-0.08667156862744943,-0.021759803921566415,-0.053921568627450234
4.0_low,2.0_high,375,375,2.5,1.0,0.03,,,,-0.07545882352941179,-0.016772549019607494,-0.04564705882352915
4.0_low,2.0_high,450,450,3.0,1.0,0.01,,,,-0.07725816993463874,-0.024441176470586606,-0.052287581699344776
4.0_low,2.0_high,525,525,3.5,1.0,0.01,,,,-0.07473669467786939,-0.02564985994397742,-0.05053221288515308
4.0_low,2.0_high,600,600,4.0,1.0,0.01,,,,-0.07019852941176392,-0.02666421568627536,-0.04901960784313686
4.0_low,2.0_high,675,675,4.5,1.0,0.0,,,,-0.07076688453158878,-0.028928104575163247,-0.05089324618736313
4.0_low,2.0_high,750,750,5.0,1.0,0.0,,,,-0.07020784313725388,-0.029011764705882723,-0.04925490196078386
6.0_low,3.0_low,150,150,1.0,0.98,0.7,,,,-0.03236274509803887,0.04422303921568711,0.006960784313725821
6.0_low,3.0_low,225,225,1.5,0.98,0.57,,,,-0.029676470588235332,0.03791339869281009,0.005686274509803857
6.0_low,3.0_low,300,300,2.0,0.99,0.42,,,,-0.02892892156862647,0.02961029411764643,-0.0008333333333331305
6.0_low,3.0_low,375,375,2.5,0.98,0.4,,,,-0.02514509803921429,0.02498039215686343,-0.000509803921568186
6.0_low,3.0_low,450,450,3.0,0.99,0.29,,,,-0.019516339869280187,0.026383169934640058,0.004084967320261423
6.0_low,3.0_low,525,525,3.5,1.0,0.25,,,,-0.025578431372547672,0.01902661064425804,-0.0029971988795514104
6.0_low,3.0_low,600,600,4.0,1.0,0.21,,,,-0.024957107843135665,0.015418504901961078,-0.004485294117646754
6.0_low,3.0_low,675,675,4.5,1.0,0.13,,,,-0.028813725490194418,0.010262527233116051,-0.009063180827886264
